username,first_name,last_name,campus_name,password
abdu123,abdu,abdu,University of Waterloo,password
SheikhAshkan,Ashkan,Sheikhian,University of Waterloo,password
BestDozd,Shiekh,Irani,University of Waterloo,password
grampa_larry,Larry,David,University of Waterloo,password
your_aunty,Awhntee,Gita,University of Waterloo,password
SickDude,Bob,Ross,University of Waterloo,password
VerySmartGuy,Fahad,Salman,University of Waterloo,password
RVS,Ranganathan,Varajamoorthynatyashastrisivalingaswamyanantkirshnaperumalbhkatian,University of Waterloo,password
0BrainCell,Richard,Feynman,University of Waterloo,password
LiteralGoddess,Shakira,Isabel-Mebarak-Ripoll,Carleton University,password
BozorgKoon,Baby,Jornie,Carleton University,password
HotFire,bubba,gump,Carleton University,password
Mr bean,Bean,Bean,Carleton University,password
Bipo,BolaBipo,BolaBo,Carleton University,password
SidTheKid,SidArnt,Batiman,Carleton University,password
